Cities,Student population,GDP (10^10 RMB),Region,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Shanghai,29145,15699.446,East,20101.33,19500,14900.93,13698,10296.97,,,,,,,
Hong Kong,12406,14944.02,Hongkong,262.6,248.5,228.6,214,219.3,,,,,,,
Beijing,49946,12804.804,East,17801.02,16000,11865,10488,7870,,,,,,,
Guangzhou,8167,9866.524,East,13551.21,12380,9118,8215,6068.41,,,,,,,
Shenzhen,7792,9137.094,East,12950.08,11000,8245,7806,5684.39,,,,,,,
Tianjing,6624,8475.382,East,12885.18,11300,7500,6354,4337.73,,,,,,,
Suzhou,3172,8286.582,East,12011.65,10500,7400,6701,4820.26,,,,,,,
Chongqing,3316,7179.44,West,11459,10000,5856,5096,3486.2,,,,,,,
Hangzhou,7519,5624.926,East,7803.98,7000,5098.66,4781,3440.99,,,,,,,
Wuxi,1772,5433.63,East,7568.15,6900,5000,4400,3300,,,,,,,
Qingdao,4258,5283.538,East,7302.11,6600,4900,4409,3206.58,,,,,,,
Chengdu,8124,5218.508,West,8138.94,6800,4502.6,3901,2750,,,,,,,
Wuhan,8001,5110.764,Central,8003.82,6500,4500,3960,2590,,,,,,,
Nanjing,9316,4812.114,East,7201.57,6140,4170,3775,2774,,,,,,,
Dalian,6113,4788.14,East,7002.8,6100,4410,3858.2,2569.7,,,,,,,
Ningbo,2419,4713.56,East,6524.7,6000,4214.6,3964,2864.5,,,,,,,
Shenyang,6704,4648.86,East,6606.8,5950,4350,3855,2482.5,,,,,,,
Changsha,3092,4032.114,Central,6399.91,5600,3370,3000,1790.66,,,,,,,
Zhengzhou,3050,3762.548,Central,5547,4900,3362.24,3002,2001.5,,,,,,,
Jinan,3151,3552.956,East,4812.68,4400,3350,3017,2185.1,,,,,,,
Changchun,1854,3537.622,Central,6399.91,4040,2919,2588,1741.2,,,,,,,
Harbin,2287,3340.44,Central,4550.1,4000,3258.1,2800,2094,,,,,,,
Shijiazhuang,1508,3279.564,East,4500.2,4000,3063.62,2770,2064,,,,,,,
Fuzhou,1749,2879.386,East,4218.29,3705,2520.7,2296,1656.94,,,,,,,
Xi'an,6922,2877.078,West,4369.37,3800,2576,2190,1450.02,,,,,,,
Hefei,2571,2531.436,Central,4164.34,3600,1948,1664.84,1280,,,,,,,
Taiyuan,1663,1730.196,Central,2311.43,"2,080",1778.05,1468,1013.38,,,,,,,
